order_id,date,product,category,units,unit_price,region
ORD-1001,2025-03-04,CloudSync,Software,1,373.35,EU-East
ORD-1002,2025-05-20,DataViz License,Software,4,341.57,EU-West
ORD-1003,2025-02-25,Router X200,Hardware,2,24.59,EU-East
ORD-1004,2025-06-16,Widget Pro,Hardware,18,107.42,EU-South
ORD-1005,2025-01-02,Sensor Kit,Hardware,15,298.73,EU-East
ORD-1006,2025-02-25,Router X200,Hardware,11,146.15,EU-North
ORD-1007,2025-04-02,CloudSync,Software,3,196.15,EU-North
ORD-1008,2025-05-18,Support Plan,Service,2,367.56,EU-West
ORD-1009,2025-06-10,Router X200,Hardware,3,280.49,EU-North
ORD-1010,2025-02-28,Sensor Kit,Hardware,3,32.44,EU-North
ORD-1011,2025-04-08,CloudSync,Software,8,434.57,EU-North
ORD-1012,2025-04-01,Analytics Suite,Software,12,89.69,EU-East
ORD-1013,2025-02-13,Support Plan,Service,3,308.46,EU-East
ORD-1014,2025-06-13,DataViz License,Software,15,195.92,EU-East
ORD-1015,2025-01-09,API Credits,Service,2,122.22,EU-North
ORD-1016,2025-05-26,Router X200,Hardware,9,42.42,EU-North
ORD-1017,2025-06-14,Sensor Kit,Hardware,16,203.85,EU-South
ORD-1018,2025-05-24,DataViz License,Software,9,78.41,EU-North
ORD-1019,2025-02-26,Router X200,Hardware,19,205.7,EU-East
ORD-1020,2025-01-29,Analytics Suite,Software,3,380.32,EU-East
ORD-1021,2025-04-09,DataViz License,Software,14,302.23,EU-South
ORD-1022,2025-05-22,Analytics Suite,Software,17,133.18,EU-West
ORD-1023,2025-06-14,CloudSync,Software,18,377.92,EU-North
ORD-1024,2025-04-27,CloudSync,Software,10,223.02,EU-West
ORD-1025,2025-05-10,Support Plan,Service,17,383.35,EU-West
ORD-1026,2025-02-09,Support Plan,Service,17,308.39,EU-North
ORD-1027,2025-05-16,DataViz License,Software,18,477.2,EU-West
ORD-1028,2025-04-03,API Credits,Service,16,19.53,EU-North
ORD-1029,2025-05-26,Sensor Kit,Hardware,2,128.02,EU-West
ORD-1030,2025-05-17,CloudSync,Software,16,409.84,EU-East
ORD-1031,2025-02-12,DataViz License,Software,16,473.95,EU-North
ORD-1032,2025-06-26,Router X200,Hardware,7,465.16,EU-East
ORD-1033,2025-06-16,Support Plan,Service,13,497.61,EU-North
ORD-1034,2025-03-05,Analytics Suite,Software,17,231.22,EU-East
ORD-1035,2025-05-22,CloudSync,Software,11,20.3,EU-East
ORD-1036,2025-06-11,Sensor Kit,Hardware,1,44.78,EU-West
ORD-1037,2025-03-26,Sensor Kit,Hardware,3,453.65,EU-West
ORD-1038,2025-02-24,Sensor Kit,Hardware,9,337.79,EU-East
ORD-1039,2025-04-15,Analytics Suite,Software,8,394.45,EU-East
ORD-1040,2025-04-01,CloudSync,Software,4,332.89,EU-South
ORD-1041,2025-01-14,Router X200,Hardware,15,433.27,EU-West
